Year,State,CoC Name,Org Name,Program Name,Program Type,Award Amount
2024,AK,,Alaska,CDBG,,2677355
2024,AK,,"Anchorage, AK",CDBG,,1877033
2024,AL,,Alabama,CDBG,,22858857
2024,AL,,"Anniston, AL",CDBG,,513533
2024,AL,,"Auburn, AL",CDBG,,726721
2024,AL,,"Bessemer, AL",CDBG,,631219
2024,AL,,"Birmingham, AL",CDBG,,5760968
2024,AL,,"Decatur, AL",CDBG,,452615
2024,AL,,"Dothan, AL",CDBG,,522342
2024,AL,,"Florence, AL",CDBG,,320259
2024,AL,,"Gadsden, AL",CDBG,,947073
2024,AL,,"Huntsville, AL",CDBG,,1375783
2024,AL,,"Jefferson County, AL",CDBG,,2118218
2024,AL,,"Mobile County, AL",CDBG,,1633443
2024,AL,,"Mobile, AL",CDBG,,2323219
2024,AL,,"Montgomery, AL",CDBG,,1757565
2024,AL,,"Opelika, AL",CDBG,,311369
2024,AL,,"Shelby County, AL",CDBG,,858304
2024,AL,,"Tuscaloosa, AL",CDBG,,810847
2024,AR,,Arkansas,CDBG,,17480755
2024,AR,,"Bentonville, AR",CDBG,,310326
2024,AR,,"Conway, AR",CDBG,,477563
2024,AR,,"Fayetteville, AR",CDBG,,795284
2024,AR,,"Fort Smith, AR",CDBG,,789844
2024,AR,,"Hot Springs, AR",CDBG,,401437
2024,AR,,"Jacksonville, AR",CDBG,,230739
2024,AR,,"Jonesboro, AR",CDBG,,652155
2024,AR,,"Little Rock, AR",CDBG,,1525020
2024,AR,,"North Little Rock, AR",CDBG,,644062
2024,AR,,"Pine Bluff, AR",CDBG,,642251
2024,AR,,"Rogers, AR",CDBG,,497435
2024,AR,,"Springdale, AR",CDBG,,865410
2024,AR,,"Texarkana, AR",CDBG,,288354
2024,AR,,"West Memphis, AR",CDBG,,245259
2024,AS,,American Samoa,CDBG,,1029433
2024,AZ,,Arizona,CDBG,,10126728
2024,AZ,,"Avondale, AZ",CDBG,,716985
2024,AZ,,"Casa Grande, AZ",CDBG,,434580
2024,AZ,,"Chandler, AZ",CDBG,,1432855
2024,AZ,,"Douglas, AZ",CDBG,,171181
2024,AZ,,"Flagstaff, AZ",CDBG,,588146
2024,AZ,,"Gilbert, AZ",CDBG,,1096384
2024,AZ,,"Glendale, AZ",CDBG,,2351551
2024,AZ,,"Goodyear, AZ",CDBG,,426647
2024,AZ,,"Marana, AZ",CDBG,,210183
2024,AZ,,"Maricopa County, AZ",CDBG,,2939131
2024,AZ,,"Mesa, AZ",CDBG,,3868757
2024,AZ,,"Peoria, AZ",CDBG,,959342
2024,AZ,,"Phoenix, AZ",CDBG,,14461954
2024,AZ,,"Pima County, AZ",CDBG,,2567968
2024,AZ,,"Pinal County, AZ",CDBG,,1755352
2024,AZ,,"Prescott, AZ",CDBG,,269584
2024,AZ,,"Scottsdale, AZ",CDBG,,1031094
2024,AZ,,"Sierra Vista, AZ",CDBG,,246400
2024,AZ,,"Surprise, AZ",CDBG,,702302
2024,AZ,,"Tempe, AZ",CDBG,,1620305
2024,AZ,,"Tucson, AZ",CDBG,,5068664
2024,AZ,,"Yuma, AZ",CDBG,,947370
2024,CA,,"Alameda County, CA",CDBG,,2143759
2024,CA,,"Alameda, CA",CDBG,,1112658
2024,CA,,"Alhambra, CA",CDBG,,834539
2024,CA,,"Aliso Viejo, CA",CDBG,,272693
2024,CA,,"Anaheim, CA",CDBG,,4122426
2024,CA,,"Antioch, CA",CDBG,,879893
2024,CA,,"Apple Valley, CA",CDBG,,664719
2024,CA,,"Bakersfield, CA",CDBG,,3921593
2024,CA,,"Baldwin Park, CA",CDBG,,839412
2024,CA,,"Bellflower, CA",CDBG,,897114
2024,CA,,"Berkeley, CA",CDBG,,2587989
2024,CA,,"Buena Park, CA",CDBG,,774071
2024,CA,,"Burbank, CA",CDBG,,1064583
2024,CA,,California,CDBG,,30065955
2024,CA,,"Camarillo, CA",CDBG,,350107
2024,CA,,"Carlsbad, CA",CDBG,,579728
2024,CA,,"Carson, CA",CDBG,,717241
2024,CA,,"Cathedral City, CA",CDBG,,533139
2024,CA,,"Chico, CA",CDBG,,960832
2024,CA,,"Chino Hills, CA",CDBG,,407848
2024,CA,,"Chino, CA",CDBG,,512733
2024,CA,,"Chula Vista, CA",CDBG,,2353427
2024,CA,,"Citrus Heights, CA",CDBG,,586761
2024,CA,,"Clovis, CA",CDBG,,680824
2024,CA,,"Compton, CA",CDBG,,1302913
2024,CA,,"Concord, CA",CDBG,,1019502
2024,CA,,"Contra Costa County, CA",CDBG,,4614953
2024,CA,,"Corona, CA",CDBG,,1097298
2024,CA,,"Costa Mesa, CA",CDBG,,971431
2024,CA,,"Cupertino, CA",CDBG,,173313
2024,CA,,"Daly City, CA",CDBG,,932468
2024,CA,,"Davis, CA",CDBG,,720159
2024,CA,,"Delano, CA",CDBG,,486138
2024,CA,,"Downey, CA",CDBG,,1017976
2024,CA,,"El Cajon, CA",CDBG,,1282473
2024,CA,,"El Centro, CA",CDBG,,526655
2024,CA,,"El Monte, CA",CDBG,,1590875
2024,CA,,"Elk Grove, CA",CDBG,,982758
2024,CA,,"Encinitas, CA",CDBG,,287457
2024,CA,,"Escondido, CA",CDBG,,1378005
2024,CA,,"Fairfield, CA",CDBG,,837945
2024,CA,,"Fontana, CA",CDBG,,1965902
2024,CA,,"Fountain Valley, CA",CDBG,,342237
2024,CA,,"Fremont, CA",CDBG,,1663572
2024,CA,,"Fresno County, CA",CDBG,,3205271
2024,CA,,"Fresno, CA",CDBG,,7013935
2024,CA,,"Fullerton, CA",CDBG,,1407083
2024,CA,,"Garden Grove, CA",CDBG,,1877100
2024,CA,,"Gardena, CA",CDBG,,616463
2024,CA,,"Gilroy, CA",CDBG,,389601
2024,CA,,"Glendale, CA",CDBG,,1733207
2024,CA,,"Glendora, CA",CDBG,,314125
2024,CA,,"Goleta, CA",CDBG,,292918
2024,CA,,"Hanford, CA",CDBG,,544484
2024,CA,,"Hawthorne, CA",CDBG,,1177964
2024,CA,,"Hayward, CA",CDBG,,1523701
2024,CA,,"Hemet, CA",CDBG,,885299
2024,CA,,"Hesperia, CA",CDBG,,972781
2024,CA,,"Huntington Beach, CA",CDBG,,1121195
2024,CA,,"Huntington Park, CA",CDBG,,1007286
2024,CA,,"Indio, CA",CDBG,,750001
2024,CA,,"Inglewood, CA",CDBG,,1208060
2024,CA,,"Irvine, CA",CDBG,,2318146
2024,CA,,"Jurupa Valley, CA",CDBG,,1050709
2024,CA,,"Kern County, CA",CDBG,,4536185
2024,CA,,"La Habra, CA",CDBG,,594275
2024,CA,,"La Mesa, CA",CDBG,,453937
2024,CA,,"Laguna Niguel, CA",CDBG,,343693
2024,CA,,"Lake Forest, CA",CDBG,,518153
2024,CA,,"Lakewood, CA",CDBG,,442613
2024,CA,,"Lancaster, CA",CDBG,,1582198
2024,CA,,"Lincoln, CA",CDBG,,238965
2024,CA,,"Livermore, CA",CDBG,,380352
2024,CA,,"Lodi, CA",CDBG,,625615
2024,CA,,"Lompoc, CA",CDBG,,539646
2024,CA,,"Long Beach, CA",CDBG,,5059094
2024,CA,,"Los Angeles County, CA",CDBG,,19864304
2024,CA,,"Los Angeles, CA",CDBG,,48426468
2024,CA,,"Lynwood, CA",CDBG,,941018
2024,CA,,"Madera, CA",CDBG,,989495
2024,CA,,"Marin County, CA",CDBG,,1559706
2024,CA,,"Menifee, CA",CDBG,,563249
2024,CA,,"Merced, CA",CDBG,,1056567
2024,CA,,"Milpitas, CA",CDBG,,592161
2024,CA,,"Mission Viejo, CA",CDBG,,380881
2024,CA,,"Modesto, CA",CDBG,,1794264
2024,CA,,"Montebello, CA",CDBG,,614925
2024,CA,,"Monterey County, CA",CDBG,,1194203
2024,CA,,"Monterey Park, CA",CDBG,,576795
2024,CA,,"Monterey, CA",CDBG,,251522
2024,CA,,"Moreno Valley, CA",CDBG,,1957039
2024,CA,,"Mountain View, CA",CDBG,,604684
2024,CA,,"Napa, CA",CDBG,,583519
2024,CA,,"National City, CA",CDBG,,712730
2024,CA,,"Newport Beach, CA",CDBG,,375580
2024,CA,,"Norwalk, CA",CDBG,,977097
2024,CA,,"Oakland, CA",CDBG,,7484410
2024,CA,,"Oceanside, CA",CDBG,,1284844
2024,CA,,"Ontario, CA",CDBG,,1815154
2024,CA,,"Orange County, CA",CDBG,,3443121
2024,CA,,"Orange, CA",CDBG,,1037099
2024,CA,,"Oxnard, CA",CDBG,,2098130
2024,CA,,"Palm Desert, CA",CDBG,,365446
2024,CA,,"Palm Springs, CA",CDBG,,344683
2024,CA,,"Palmdale, CA",CDBG,,1500651
2024,CA,,"Palo Alto, CA",CDBG,,513653
2024,CA,,"Paradise, CA",CDBG,,52474
2024,CA,,"Paramount, CA",CDBG,,731496
2024,CA,,"Pasadena, CA",CDBG,,2133306
2024,CA,,"Perris, CA",CDBG,,886118
2024,CA,,"Petaluma, CA",CDBG,,304473
2024,CA,,"Pico Rivera, CA",CDBG,,589071
2024,CA,,"Pittsburg, CA",CDBG,,641748
2024,CA,,"Pleasanton, CA",CDBG,,380083
2024,CA,,"Pomona, CA",CDBG,,1751044
2024,CA,,"Porterville, CA",CDBG,,710793
2024,CA,,"Rancho Cordova, CA",CDBG,,628122
2024,CA,,"Rancho Cucamonga, CA",CDBG,,1042138
2024,CA,,"Rancho Santa Margarita, CA",CDBG,,208305
2024,CA,,"Redding, CA",CDBG,,691849
2024,CA,,"Redondo Beach, CA",CDBG,,282571
2024,CA,,"Redwood City, CA",CDBG,,677265
2024,CA,,"Rialto, CA",CDBG,,1151844
2024,CA,,"Riverside County, CA",CDBG,,7452148
2024,CA,,"Riverside, CA",CDBG,,2777642
2024,CA,,"Rocklin, CA",CDBG,,285275
2024,CA,,"Rosemead, CA",CDBG,,584216
2024,CA,,"Roseville, CA",CDBG,,707089
2024,CA,,"Sacramento County, CA",CDBG,,5946500
2024,CA,,"Sacramento, CA",CDBG,,4563979
2024,CA,,"Salinas, CA",CDBG,,2143629
2024,CA,,"San Bernardino County, CA",CDBG,,6728121
2024,CA,,"San Bernardino, CA",CDBG,,2746082
2024,CA,,"San Buenaventura, CA",CDBG,,677690
2024,CA,,"San Clemente, CA",CDBG,,317551
2024,CA,,"San Diego County, CA",CDBG,,4283065
2024,CA,,"San Diego, CA",CDBG,,11273192
2024,CA,,"San Francisco, CA",CDBG,,18917476
2024,CA,,"San Joaquin County, CA",CDBG,,2983745
2024,CA,,"San Jose, CA",CDBG,,7883402
2024,CA,,"San Leandro, CA",CDBG,,793564
2024,CA,,"San Luis Obispo County, CA",CDBG,,1790584
2024,CA,,"San Marcos, CA",CDBG,,662806
2024,CA,,"San Mateo County, CA",CDBG,,2371550
2024,CA,,"San Mateo, CA",CDBG,,753586
2024,CA,,"Santa Ana, CA",CDBG,,4293315
2024,CA,,"Santa Barbara County, CA",CDBG,,1183009
2024,CA,,"Santa Barbara, CA",CDBG,,846418
2024,CA,,"Santa Clara County, CA",CDBG,,1450200
2024,CA,,"Santa Clara, CA",CDBG,,984693
2024,CA,,"Santa Clarita, CA",CDBG,,1495091
2024,CA,,"Santa Cruz, CA",CDBG,,527781
2024,CA,,"Santa Maria, CA",CDBG,,1409237
2024,CA,,"Santa Monica, CA",CDBG,,1151825
2024,CA,,"Santa Rosa, CA",CDBG,,1306590
2024,CA,,"Santee, CA",CDBG,,350916
2024,CA,,"Seaside, CA",CDBG,,327373
2024,CA,,"Simi Valley, CA",CDBG,,672694
2024,CA,,"Sonoma County, CA",CDBG,,1657887
2024,CA,,"South Gate, CA",CDBG,,1245005
2024,CA,,"South San Francisco, CA",CDBG,,443482
2024,CA,,"Stanislaus County, CA",CDBG,,2305008
2024,CA,,"Stockton, CA",CDBG,,3240738
2024,CA,,"Sunnyvale, CA",CDBG,,1043481
2024,CA,,"Temecula, CA",CDBG,,581794
2024,CA,,"Thousand Oaks, CA",CDBG,,607042
2024,CA,,"Torrance, CA",CDBG,,1002313
2024,CA,,"Tulare, CA",CDBG,,719967
2024,CA,,"Turlock, CA",CDBG,,621578
2024,CA,,"Tustin, CA",CDBG,,701561
2024,CA,,"Union City, CA",CDBG,,493771
2024,CA,,"Upland, CA",CDBG,,608662
2024,CA,,"Vacaville, CA",CDBG,,532369
2024,CA,,"Vallejo, CA",CDBG,,1007083
2024,CA,,"Ventura County, CA",CDBG,,1428843
2024,CA,,"Victorville, CA",CDBG,,1373412
2024,CA,,"Visalia, CA",CDBG,,1184832
2024,CA,,"Vista, CA",CDBG,,953823
2024,CA,,"Walnut Creek, CA",CDBG,,377135
2024,CA,,"Watsonville, CA",CDBG,,660935
2024,CA,,"West Covina, CA",CDBG,,807958
2024,CA,,"West Sacramento, CA",CDBG,,519475
2024,CA,,"Westminster, CA",CDBG,,978392
2024,CA,,"Whittier, CA",CDBG,,620883
2024,CA,,"Woodland, CA",CDBG,,475086
2024,CA,,"Yuba City, CA",CDBG,,567725
2024,CO,,"Adams County, CO",CDBG,,1251668
2024,CO,,"Arapahoe County, CO",CDBG,,1356723
2024,CO,,"Arvada, CO",CDBG,,458033
2024,CO,,"Aurora, CO",CDBG,,2671379
2024,CO,,"Boulder, CO",CDBG,,815585
2024,CO,,"Broomfield, CO",CDBG,,269135
2024,CO,,"Castle Rock, CO",CDBG,,264043
2024,CO,,Colorado,CDBG,,9305817
2024,CO,,"Colorado Springs, CO",CDBG,,2972928
2024,CO,,"Commerce City, CO",CDBG,,409823
2024,CO,,"Denver, CO",CDBG,,6603841
2024,CO,,"El Paso County, CO",CDBG,,1113333
2024,CO,,"Fort Collins, CO",CDBG,,1107934
2024,CO,,"Grand Junction, CO",CDBG,,398577
2024,CO,,"Greeley, CO",CDBG,,840613
2024,CO,,"Jefferson County, CO",CDBG,,1045532
2024,CO,,"Lakewood, CO",CDBG,,918713
2024,CO,,"Longmont, CO",CDBG,,478873
2024,CO,,"Loveland, CO",CDBG,,361246
2024,CO,,"Pueblo, CO",CDBG,,1453413
2024,CO,,"Thornton, CO",CDBG,,803023
2024,CO,,"Weld County, CO",CDBG,,1211310
2024,CO,,"Westminster, CO",CDBG,,562333
2024,CT,,"Bridgeport, CT",CDBG,,3202556
2024,CT,,"Bristol, CT",CDBG,,565213
2024,CT,,Connecticut,CDBG,,13880022
2024,CT,,"Danbury, CT",CDBG,,578597
2024,CT,,"East Hartford, CT",CDBG,,545461
2024,CT,,"Fairfield, CT",CDBG,,479237
2024,CT,,"Greenwich, CT",CDBG,,732355
2024,CT,,"Hamden, CT",CDBG,,447443
2024,CT,,"Hartford, CT",CDBG,,3551794
2024,CT,,"Manchester, CT",CDBG,,565198
2024,CT,,"Meriden, CT",CDBG,,959924
2024,CT,,"Middletown, CT",CDBG,,477291
2024,CT,,"Milford, CT",CDBG,,536043
2024,CT,,"New Britain, CT",CDBG,,1593937
2024,CT,,"New Haven, CT",CDBG,,3385579
2024,CT,,"New London, CT",CDBG,,815436
2024,CT,,"Norwalk, CT",CDBG,,844001
2024,CT,,"Norwich, CT",CDBG,,845890
2024,CT,,"Shelton, CT",CDBG,,191032
2024,CT,,"Stamford, CT",CDBG,,956320
2024,CT,,"Stratford, CT",CDBG,,615301
2024,CT,,"Waterbury, CT",CDBG,,2193333
2024,CT,,"West Hartford, CT",CDBG,,997355
2024,CT,,"West Haven, CT",CDBG,,661668
2024,DC,,"Washington, DC",CDBG,,15633070
2024,DE,,Delaware,CDBG,,2752623
2024,DE,,"Dover, DE",CDBG,,309594
2024,DE,,"New Castle County, DE",CDBG,,2452724
2024,DE,,"Wilmington, DE",CDBG,,2250876
2024,FL,,"Boca Raton, FL",CDBG,,488242
2024,FL,,"Boynton Beach, FL",CDBG,,565144
2024,FL,,"Bradenton, FL",CDBG,,451518
2024,FL,,"Brevard County, FL",CDBG,,1386307
2024,FL,,"Broward County, FL",CDBG,,3929190
2024,FL,,"Cape Coral, FL",CDBG,,1089925
2024,FL,,"Clay County, FL",CDBG,,1000319
2024,FL,,"Clearwater, FL",CDBG,,940482
2024,FL,,"Cocoa, FL",CDBG,,119567
2024,FL,,"Collier County, FL",CDBG,,2580569
2024,FL,,"Coral Springs, FL",CDBG,,788542
2024,FL,,"Crestview, FL",CDBG,,167833
2024,FL,,"Davie, FL",CDBG,,728659
2024,FL,,"Daytona Beach, FL",CDBG,,629246
2024,FL,,"Deerfield Beach, FL",CDBG,,708864
2024,FL,,"Delray Beach, FL",CDBG,,444593
2024,FL,,"Deltona, FL",CDBG,,519094
2024,FL,,"Escambia County, FL",CDBG,,1697854
2024,FL,,Florida,CDBG,,24778539
2024,FL,,"Fort Lauderdale, FL",CDBG,,1498833
2024,FL,,"Fort Myers, FL",CDBG,,671922
2024,FL,,"Fort Pierce, FL",CDBG,,529209
2024,FL,,"Fort Walton Beach, FL",CDBG,,134174
2024,FL,,"Gainesville, FL",CDBG,,1386148
2024,FL,,"Hernando County, FL",CDBG,,1122376
2024,FL,,"Hialeah, FL",CDBG,,2399902
2024,FL,,"Hillsborough County, FL",CDBG,,7334202
2024,FL,,"Hollywood, FL",CDBG,,1234567
2024,FL,,"Homestead, FL",CDBG,,917424
2024,FL,,"Jacksonville-Duval County, FL",CDBG,,6853388
2024,FL,,"Jupiter, FL",CDBG,,273367
2024,FL,,"Kissimmee, FL",CDBG,,896880
2024,FL,,"Lake County, FL",CDBG,,1900542
2024,FL,,"Lakeland, FL",CDBG,,851621
2024,FL,,"Largo, FL",CDBG,,587822
2024,FL,,"Lauderhill, FL",CDBG,,758175
2024,FL,,"Lee County, FL",CDBG,,3127061
2024,FL,,"Manatee County, FL",CDBG,,1795567
2024,FL,,"Marco Island, FL",CDBG,,54770
2024,FL,,"Marion County, FL",CDBG,,2170659
2024,FL,,"Melbourne, FL",CDBG,,569828
2024,FL,,"Miami Beach, FL",CDBG,,889998
2024,FL,,"Miami Gardens, FL",CDBG,,1003648
2024,FL,,"Miami, FL",CDBG,,5090474
2024,FL,,"Miami-Dade County, FL",CDBG,,13108671
2024,FL,,"Miramar, FL",CDBG,,817057
2024,FL,,"North Miami, FL",CDBG,,779123
2024,FL,,"Ocala, FL",CDBG,,501396
2024,FL,,"Orange County, FL",CDBG,,7338797
2024,FL,,"Orlando, FL",CDBG,,2514174
2024,FL,,"Osceola County, FL",CDBG,,1506705
2024,FL,,"Palm Bay, FL",CDBG,,776641
2024,FL,,"Palm Beach County, FL",CDBG,,6487957
2024,FL,,"Palm Beach Gardens, FL",CDBG,,248125
2024,FL,,"Palm Coast, FL",CDBG,,480948
2024,FL,,"Panama City, FL",CDBG,,376717
2024,FL,,"Pasco County, FL",CDBG,,3099096
2024,FL,,"Pembroke Pines, FL",CDBG,,1118260
2024,FL,,"Pensacola, FL",CDBG,,763948
2024,FL,,"Pinellas County, FL",CDBG,,2338964
2024,FL,,"Pinellas Park, FL",CDBG,,375635
2024,FL,,"Plantation, FL",CDBG,,578477
2024,FL,,"Polk County, FL",CDBG,,3995282
2024,FL,,"Pompano Beach, FL",CDBG,,986989
2024,FL,,"Port Orange, FL",CDBG,,370260
2024,FL,,"Port St. Lucie, FL",CDBG,,1039835
2024,FL,,"Saint Johns County, FL",CDBG,,1143988
2024,FL,,"Sanford, FL",CDBG,,464255
2024,FL,,"Sarasota County, FL",CDBG,,1738899
2024,FL,,"Sarasota, FL",CDBG,,369681
2024,FL,,"Sebastian, FL",CDBG,,105116
2024,FL,,"Seminole County, FL",CDBG,,2200355
2024,FL,,"St. Cloud, FL",CDBG,,326959
2024,FL,,"St. Petersburg, FL",CDBG,,1789011
2024,FL,,"Sunrise, FL",CDBG,,633614
2024,FL,,"Tallahassee, FL",CDBG,,1869974
2024,FL,,"Tamarac, FL",CDBG,,492874
2024,FL,,"Tampa, FL",CDBG,,3069380
2024,FL,,"Titusville, FL",CDBG,,307980
2024,FL,,"Volusia County, FL",CDBG,,1702132
2024,FL,,"Wellington, FL",CDBG,,289226
2024,FL,,"West Palm Beach, FL",CDBG,,1039077
